"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"D1,D2";"SOT-23";2;"BAT54S";;;
2;"J1";"SMA_Amphenol_901-144_Vertical";1;"Conn_Coaxial_inv";;;
3;"R4,R7,R3,R8";"R_0402_1005Metric";4;"10k";;;
4;"C16,C6,C13,C19,C18,C15,C17,C20";"C_0402_1005Metric";8;"1uF";;;
5;"U4";"Texas_S-PWQFN-N24_EP2.7x2.7mm";1;"OPA1692xD";;;
6;"P1";"BUS_PCIexpress_x1";1;"CONN_36_P1.00_PCI";;;
7;"C1,C2,C5,C7,C22,C24";"C_0402_1005Metric";6;"0.1uF";;;
8;"C3,C4,C10,C23";"C_0805_2012Metric";4;"10uF";;;
9;"C8";"C_0805_2012Metric";1;"1uF";;;
10;"C9";"C_0402_1005Metric";1;"8pF";;;
11;"R1";"R_0805_2012Metric";1;"7";;;
12;"R2";"R_0402_1005Metric";1;"1000";;;
13;"R9,R10";"R_0402_1005Metric";2;"2k";;;
14;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM334M";;;
15;"U2";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"LM1972";;;
16;"J2,J3";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm";2;"Conn_01x03_Female";;;
17;"U3";"VSSOP-8_3.0x3.0mm_P0.65mm";1;"OPA2388IDGK";;;
